Name,Description,Providers,Web URL,Related spaces,Topics,Skills,Roles,Tags,Lessons,Goals
LLMOps Workshop (Azure),Azure AI + PromptFlow workshop teaching build/eval/deploy/monitor and automation,Microsoft,https://microsoft.github.io/llmops-workshop/,,Lifecycle; Prompting; Benchmarks; Observability and tracing; Deployment and serving; Automation; Content safety,,,,,
LLMOps on Google Cloud,Google Cloud guidance framing LLMOps lifecycle with Vertex AI components,Google Cloud,https://cloud.google.com/discover/what-is-llmops,,Lifecycle; Data; Training; Deployment and serving; Observability and tracing; Governance and risk,,,,,
LLMOps Workshop (SageMaker open LLM),"Hands-on OSS LLM operationalization with SageMaker (register, finetune, pipeline, monitor, embeddings, RAG chatbot)",AWS Samples,https://github.com/aws-samples/llmops-workshop,,Lifecycle; Post-training (QLoRA); Orchestration and workflows; Observability and tracing; Benchmarks; RAG; Deployment and serving,,,,,
Operationalize GenAI Apps with LLMOps (blog series),AWS architecture/patterns for multi-account/multi-region LLMOps operationalization,AWS,https://aws.amazon.com/blogs/gametech/operationalize-generative-ai-applications-on-aws-part-i-overview-of-llmops-solution/,,Lifecycle; Deployment and serving; CI CD; Governance and risk; Cost and performance,,,,,
LLMOps on Databricks,"Platform framing (MLflow-centric) for tracking, prompt engineering, deployment, monitoring",Databricks,https://www.databricks.com/glossary/llmops,,Lifecycle; Prompting; Experiment tracking; Benchmarks; Deployment and serving; Cost and performance,,,,,
LLMOps (IBM Think),IBM overview of LLMOps + enterprise governance orientation,IBM,https://www.ibm.com/think/topics/llmops,,Lifecycle; Prompting; Experiment tracking; Orchestration and workflows; Governance and risk,,,,,
LLMOps (Oracle),Oracle overview framing LLMOps as managing LLMs in production + monitoring/performance,Oracle,https://www.oracle.com/artificial-intelligence/llmops/,,Lifecycle; Observability and tracing; Deployment and serving; Cost and performance,,,,,
Open LLMOps Primitives (HF ecosystem),Open-source ecosystem primitives for building/fine-tuning/serving LLMs,Hugging Face,https://huggingface.co/docs/trl/index,,Ecosystem primitives; PEFT; Distributed training; Post training,,,,,
LLMOps Evaluation Harness,Open-source evaluation harness used widely for reproducible LLM eval,EleutherAI,https://github.com/EleutherAI/lm-evaluation-harness,,Benchmarks; Regression testing; Reproducibility,,,,,
vLLM Serving & OpenAI-Compatible API,Open-source inference/serving engine with OpenAI-compatible server,vLLM Project,https://docs.vllm.ai/,,Deployment and serving; Performance; OpenAI-compatible endpoints,,,,,
Phoenix Observability & Evals (OSS),Open-source observability (tracing) + evaluation + datasets/experiments,Arize Phoenix,https://phoenix.arize.com/,,Observability and tracing; Benchmarks; Experiments; Datasets; Self-hosting,,,,,
MLflow for GenAI (Prompt Registry + Eval),Open-source lifecycle tooling for prompts + eval and tracking,MLflow,https://mlflow.org/docs/latest/genai/prompt-registry/evaluate-prompts/,,Prompting; Benchmarks; Tracking,,,,,
OpenRLHF (RLHF pipelines),Open-source scalable RLHF pipeline framework,OpenRLHF,https://github.com/OpenRLHF/OpenRLHF,,Post-training (RLHF); Cost and performance; Serving integration,,,,,
LangChain Observability (OSS),Orchestration framework + observability hooks (tracing/debug),LangChain,https://docs.langchain.com/oss/python/langchain/observability,,Observability and tracing; Agent workflow debugging,,,,,
LlamaIndex Observability (OSS),RAG/agent framework + observability integrations,LlamaIndex,https://developers.llamaindex.ai/python/framework/module_guides/observability/,,Observability and tracing; RAG workflow debugging,,,,,
LLMOps.build Docs,Documentation site for a pluggable LLMOps toolkit for TypeScript applications,LLMOps.build,https://llmops.build/docs,,Lifecycle; Configuration; Providers; Deployment and serving; Observability and tracing,,,,,
Foundation: Introduction to LangGraph (Python),LangChain Academy course teaching LangGraph fundamentals for agentic and multi-agent applications (with companion repo modules),LangChain Academy,https://academy.langchain.com/courses/intro-to-langgraph,,Agents; Orchestration graphs; State; Memory; Tool use; Deployment basics,,,,,
OpenAI Codex Developer Docs,"Official documentation for Codex including CLI, config, SDK, and app server usage",OpenAI,https://developers.openai.com/codex,,Coding agents; Automation; CLI workflows; Configuration; Integrations; Production ops,,,,,
Langfuse (Demo + Docs Entry),"Open-source LLM observability platform with tracing, prompt management, and evaluation features",Langfuse,https://langfuse.com/watch-demo,,Observability and tracing; Prompt management; Benchmarks; Debugging,,,,,
Weights & Biases Courses (W&B Academy),"Course catalog for building and operating GenAI systems (agents, evals, RAG optimization, CI/CD)",Weights & Biases,https://wandb.ai/site/courses/,,Agents; Benchmarks; RAG; Experiment tracking; CI CD; Production workflows,,,,,
Braintrust Evaluation Docs,"Documentation for evaluation workflows (datasets, prompts, scorers, running evals, interpreting results)",Braintrust,https://www.braintrust.dev/docs/evaluation,,Benchmarks; Datasets; Prompt iteration; Scorers; Experiments,,,,,
Helicone Quick Start + Gateway Docs,"LLM observability + AI Gateway docs covering routing, caching, security, cost tracking, and eval scores",Helicone,https://docs.helicone.ai/getting-started/quick-start,,Observability and tracing; Gateway; Provider routing; Prompt management; Caching; Security; Cost tracking; Benchmarks,,,,,
